Course Number,Title,Hours,Term,Semster,Status
EHSC 8460,Environmental Genomics ,3,Fall 2018,1,A
EHSC 8310,Aquatic Microbiology,3,Fall 2019,3,A
EHSC 7650 ,Water Qaulity ,3,Fall 2018,1,A
GRSC 8200,Science Communication ,1,Spring 2019,2,A
